queue_rank,old_rank,eligible,processed,fund,usable,missing,missing_fields,official_routes,canonical_web_status,expected_recoverable_fields,score_values_per_minute,age_class,established_year,age_evidence_kind,age_evidence,age_blocked_fields,age_penalty,expected_recoverable_fields_old,reason,fund_index,ico,web,high,medium,low,expected_raw_slots,route_quality,penalty_factor,bonus_factor,expected_minutes,proven_hosts,cached_documents,cached_unexploited,slug
73,89,yes,no,HENRY IF SICAV a.s.,4,7,minimum_investment;target_return;assets_under_management;aum_history;annual_returns;historical_values;news,canonical web,usable,2.31,0.924,MATURE,,no_age_evidence,,,1.0,2.31,canonical website only,108,,https://www.artefin.cz,0,5,2,3.3,0.7,1.0,1.0,2.5,artefin.cz,29,3,henry-if-sicav-a-s
74,39,no,yes,Spinoffy SICAV a.s.,2,9,minimum_investment;target_return;fees;assets_under_management;administrator;aum_history;annual_returns;historical_values;news,canonical web,usable,2.31,0.924,ONE_STUB_PERIOD,2025,recorded_establishment_date,2025-11-28,annual_returns;assets_under_management;aum_history;historical_values,0.6667,3.465,canonical website only; 10 sound cached documents never read,115,,https://spinoffy.com,0,7,2,4.5,0.7,1.0,1.1,2.5,spinoffy.com,19,10,spinoffy-sicav-a-s
75,90,yes,no,"CARE SICAV, a.s.",6,5,assets_under_management;aum_history;annual_returns;historical_values;news,CODYA > canonical web,usable,3.1875,0.9107,MATURE,,no_age_evidence,,,1.0,3.1875,proven official route (CODYA); one annual report can answer 4 missing fields,1,,https://www.codyainvest.cz/nase-fondy/care-sicav-a-s,0,4,1,2.55,1.0,1.0,1.25,3.5,codyainvest.cz,26,0,care-sicav-a-s
76,91,yes,no,JLT FUND SICAV a.s.,6,5,target_return;aum_history;annual_returns;historical_values;news,AVANT > canonical web,usable,3.1875,0.9107,MATURE,,no_age_evidence,,,1.0,3.1875,proven official route (AVANT); one annual report can answer 3 missing fields,74,,https://www.jltfund.eu,0,4,1,2.55,1.0,1.0,1.25,3.5,jltfund.eu;avantfunds.cz,19,9,jlt-fund-sicav-a-s
77,92,yes,no,"BICZ FUND SICAV, a.s.",6,5,target_return;aum_history;annual_returns;historical_values;news,AVANT > canonical web,usable,3.1875,0.9107,MATURE,,no_age_evidence,,,1.0,3.1875,proven official route (AVANT); one annual report can answer 3 missing fields,124,,https://avantfunds.cz/fondy/bicz-fund-sicav-a-s/,0,4,1,2.55,1.0,1.0,1.25,3.5,avantfunds.cz,29,2,bicz-fund-sicav-a-s
78,93,yes,no,BlackBird RE Fond SICAV a.s.,6,5,target_return;aum_history;annual_returns;historical_values;news,DELTA IS > canonical web,usable,3.1875,0.9107,MATURE,,no_age_evidence,,,1.0,3.1875,proven official route (DELTA IS); one annual report can answer 3 missing fields,126,,https://bbre-fondy.cz,0,4,1,2.55,1.0,1.0,1.25,3.5,deltais.cz;bbre-fondy.cz;blackbirdre.cz,5,0,blackbird-re-fond-sicav-a-s
79,94,yes,no,"JTPEG INVESTMENTS FUND I SICAV, a.s.",6,5,target_return;aum_history;annual_returns;historical_values;news,J&T > canonical web > Sbírka listin / ORSL,usable,3.1875,0.9107,MATURE,2023,recorded_establishment_date,2023-06-22,,1.0,3.1875,proven official route (J&T); one annual report can answer 3 missing fields,202,19466340,https://www.jtpeginvestments.com,0,4,1,2.55,1.0,1.0,1.25,3.5,datocms-assets.com;jtpeginvestments.com,7,1,jtpeg-investments-fund-i-sicav-a-s
80,95,yes,no,"PROPERITY FUND SICAV, a.s.",6,5,target_return;aum_history;annual_returns;historical_values;news,TILLER/Winstor > canonical web > Sbírka listin / ORSL,usable,3.1875,0.9107,MATURE,,no_age_evidence,,,1.0,3.1875,proven official route (TILLER/Winstor); one annual report can answer 3 missing fields,322,08531641,https://www.winstor.cz/funds/detail/properity,0,4,1,2.55,1.0,1.0,1.25,3.5,tillerfunds.cz,7,0,properity-fund-sicav-a-s
81,96,yes,no,"ČCE (A), investiční fond s proměnným základním kapitálem, a.s.",6,5,minimum_investment;target_return;administrator;historical_values;news,canonical web,usable,2.2715,0.9086,MATURE,,no_age_evidence,,,1.0,2.2715,canonical website only; 19 sound cached documents never read,331,,https://ustredicce.e-cirkev.cz/investice-pf/investicni-fondy/,1,3,1,2.95,0.7,1.0,1.1,2.5,ustredicce.e-cirkev.cz,32,19,cce-a-investicni-fond-s-promennym-zakladnim-kapitale
82,97,yes,no,ZDR Investments Public SICAV a.s.,7,4,minimum_investment;target_return;annual_returns;news,canonical web,usable,2.156,0.8624,MATURE,,no_age_evidence,,,1.0,2.156,canonical website only; 19 sound cached documents never read,45,,https://zdrinvestments.cz,1,3,0,2.8,0.7,1.0,1.1,2.5,cdn.prod.website-files.com;zdrinvestments.cz,32,19,zdr-investments-public-sicav-a-s
